City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
185,Haines Junction,CA,60.7522,-137.5108,71.55,23,36,10.36,scattered clouds
186,Mangaratiba,BR,-22.9597,-44.0406,61.03,75,99,5.08,overcast clouds
187,Santa Rosa,PH,14.3122,121.1114,89.1,68,100,15.86,heavy intensity rain
188,Tocopilla,CL,-22.092,-70.1979,59.4,78,17,2.15,few clouds
189,Cape Town,ZA,-33.9258,18.4232,53.28,96,2,3.44,fog
190,Ambatofinandrahana,MG,-20.55,46.8,48.07,90,13,5.01,few clouds
191,Norman Wells,CA,65.282,-126.8329,82.44,34,40,6.91,scattered clouds
192,Zhangjiakou,CN,40.81,114.8794,87.66,29,0,9.4,clear sky
193,East London,ZA,-33.0153,27.9116,58.3,48,1,3.58,clear sky
194,Ilula,TZ,-7.6766,36.0366,56.17,83,45,9.91,scattered clouds
195,Port Blair,IN,11.6667,92.75,84.36,77,61,17.65,broken clouds
196,Orchard Homes,US,46.8633,-114.0484,91.54,30,1,11.5,clear sky
197,Shimsk,RU,58.212,30.7127,60.19,77,84,13.85,broken clouds
198,Luanda,AO,-8.8368,13.2343,68.18,93,2,6.96,clear sky
199,Channel-Port Aux Basques,CA,47.5702,-59.1367,61.84,99,100,18.03,overcast clouds
200,Hambantota,LK,6.1241,81.1185,86.34,70,0,14.97,clear sky
201,Darhan,MN,49.4867,105.9228,69.58,61,6,6.8,clear sky
202,Kaeo,NZ,-35.1,173.7833,62.33,80,100,17.69,overcast clouds
203,Westport,US,41.1415,-73.3579,71.74,63,1,4.0,clear sky
204,Kaitangata,NZ,-46.2817,169.8464,55.92,78,100,0.6,overcast clouds
205,Acapulco,MX,16.8634,-99.8901,77.45,81,99,5.1,overcast clouds
206,Karratha,AU,-20.7377,116.8463,76.01,41,54,15.41,broken clouds
207,Sao Gotardo,BR,-19.3111,-46.0489,48.63,27,3,4.81,clear sky
208,Haysyn,UA,48.8114,29.3898,67.78,79,1,3.8,clear sky
