City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
200,Hambantota,LK,86.34,clear sky,6.1241,81.1185,Bungalow 63
201,Darhan,MN,69.58,clear sky,49.4867,105.9228,Buudai Hotel
202,Kaeo,NZ,62.33,overcast clouds,-35.1,173.7833,Bushido Lodge
203,Westport,US,71.74,clear sky,41.1415,-73.3579,The Westport Inn
205,Acapulco,MX,77.45,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
206,Karratha,AU,76.01,broken clouds,-20.7377,116.8463,ibis Styles Karratha
208,Haysyn,UA,67.78,clear sky,48.8114,29.3898,Комплекс «Здорово»
209,Deputatskiy,RU,69.42,broken clouds,69.3,139.9,Baza Otdykha
211,Hobyo,SO,76.44,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
214,Namibe,AO,68.79,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
215,Talara,PE,66.13,clear sky,-4.5772,-81.2719,Hostal Oro Negro
216,Green River,US,68.4,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
217,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
219,Havre,FR,60.57,overcast clouds,49.5833,0.3333,gite bois jourdain
221,Thompson,CA,62.76,smoke,55.7435,-97.8558,Burntwood Hotel
222,Suba,PH,84.42,overcast clouds,10.8438,121.0102,Casita Bed and Grill
223,Ballina,AU,73.44,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
224,Ariquemes,BR,64.89,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
226,Le Port,RE,66.2,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
228,Seydi,TM,85.91,broken clouds,39.4816,62.9137,Seydi oteli
229,Saint George,US,87.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
230,Yablochnyy,RU,82.35,overcast clouds,47.1661,142.0661,
232,Vila Velha,BR,64.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
233,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
234,Northam,GB,60.66,scattered clouds,51.0333,-4.2167,Durrant House Hotel
235,College,US,73.38,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
236,Mareeba,AU,83.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
239,Kayes,ML,75.09,overcast clouds,14.0,-11.0,
240,Sao Miguel Do Araguaia,BR,69.17,clear sky,-13.275,-50.1628,Hotel Executivo Palace
242,Sinazongwe,ZM,60.3,few clouds,-17.2614,27.4618,Lakeview Lodge
243,Anajatuba,BR,73.18,broken clouds,-3.2644,-44.6197,Pousada Por do Sol
244,Ishigaki,JP,87.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
245,Owando,CG,72.23,few clouds,-0.4819,15.8999,Exaunel Hotel Owando
246,Cabedelo,BR,72.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
247,Konyshevka,RU,70.29,clear sky,51.8418,35.2941,
248,Santa Cruz De La Palma,ES,71.74,clear sky,28.6835,-17.7642,H10 Taburiente Playa
249,Aqtobe,KZ,75.29,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
250,Midland,US,86.68,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
251,Dwarahat,IN,75.33,broken clouds,29.7833,79.4333,"Mayank Resort,Dwarahat"
252,Axim,GH,75.0,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
254,Oriximina,BR,72.21,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
256,Tatarsk,RU,63.19,overcast clouds,55.219,75.9828,Gostinitsa Neptun Tatarsk
258,Batagay-Alyta,RU,79.97,scattered clouds,67.8006,130.4114,
259,Tura,IN,75.63,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
260,Angoche,MZ,72.9,light rain,-16.2325,39.9086,Guest House HESADA
262,Dubuque,US,66.02,light rain,42.4833,-90.8668,American Inn and Suites
264,Elbrus,RU,60.3,scattered clouds,43.2577,42.6443,Otel' Pik Yevropy
265,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
266,Bacungan,PH,88.27,overcast clouds,9.9106,118.7022,Sumayang Property
267,Piste,MX,79.29,overcast clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
268,Flin Flon,CA,61.36,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
269,Bengkulu,ID,84.97,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
270,Hirosaki,JP,88.21,scattered clouds,40.5931,140.4725,Dormy Inn Hirosaki
271,Altay,CN,71.56,scattered clouds,47.8667,88.1167,Jinqiao Hotel
272,Wuda,CN,89.94,clear sky,39.4994,106.7117,Grape Sightseeing Garden
273,Palm Coast,US,82.62,broken clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
274,Zhigansk,RU,75.85,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
275,Acopiara,BR,72.25,overcast clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
276,Aklavik,CA,74.23,broken clouds,68.2191,-135.0107,Aklavik Inn
278,Naifaru,MV,81.95,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
279,Bani,DO,78.75,few clouds,18.2833,-70.3333,Hospedaje Henriquez
280,Bam,IR,89.69,broken clouds,29.106,58.357,Bam Tourist Hotel
281,Lethem,GY,73.24,scattered clouds,3.3803,-59.7968,Savannah Inn
285,Lahij,YE,77.99,overcast clouds,13.1667,44.5833,
289,Trat,TH,86.2,overcast clouds,12.5,102.5,สวนหนิง-อัศ
291,Calamar,CO,82.35,overcast clouds,10.2511,-74.9146,Hostal Katyalex
292,Turbat,PK,85.46,few clouds,26.0023,63.044,Mubashar Quarters
293,Misratah,LY,81.88,clear sky,32.3754,15.0925,فندق الماسة
294,Florida,US,82.38,broken clouds,28.7505,-82.5001,Sportsmens Cove
296,Veraval,IN,82.51,overcast clouds,20.9,70.3667,Lords Inn Somnath
298,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
300,Guerrero Negro,MX,72.36,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
304,Rolla,US,80.74,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
305,Shaunavon,CA,73.18,clear sky,49.6501,-108.4181,Bear's Den Lodge
306,Maningrida,AU,88.05,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
307,Chilliwack,CA,89.65,clear sky,49.1747,-121.9443,Coast Chilliwack Hotel by APA
309,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
310,Kavaratti,IN,82.24,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
311,Isetskoye,RU,62.19,broken clouds,56.4858,65.3226,"Belyye Rosy, Gostinitsa"
314,Sungurlu,TR,67.42,clear sky,40.1675,34.3739,Sungurlu Ogretmenevi
315,Duluth,US,72.18,smoke,46.7833,-92.1066,South Pier Inn
316,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
317,Canto Do Buriti,BR,78.76,few clouds,-8.11,-42.9444,Novo Hotel
319,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
320,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
321,Athabasca,CA,75.02,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
323,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
325,Maraa,BR,69.85,broken clouds,-1.8333,-65.3667,
328,Ulaanbaatar,MN,66.33,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
329,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
330,Zhezkazgan,KZ,78.69,clear sky,47.8043,67.7144,Hotel Zumrat
332,Capim Grosso,BR,66.79,overcast clouds,-11.3811,-40.0128,Hotel Veloso
333,Gamba,GA,72.37,broken clouds,-2.65,10.0,
334,Jacareacanga,BR,71.62,clear sky,-6.2222,-57.7528,Casa do Ian😎
336,Isla Mujeres,MX,84.25,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
338,Vao,NC,67.53,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
339,Pizarro,CO,78.46,broken clouds,4.9533,-77.366,Hotel Limonar
342,Mayo,US,78.17,few clouds,38.8876,-76.5119,Resorts Resource Group International
